life_births,gni
1.576714,36.5
1.576062,36.6
1.575414,36.7
1.574769,36.8
1.574127,36.9
1.573488,37
1.572853,37.1
1.572221,37.2
1.571593,37.3
1.570967,37.4
1.570345,37.5
1.569726,37.6
1.56911,37.7
1.568497,37.8
1.567887,37.9
1.567281,38
1.566677,38.1
1.566077,38.2
1.565479,38.3
1.564884,38.4
1.564293,38.5
1.563704,38.6
1.563118,38.7
1.562536,38.8
1.561956,38.9
1.561378,39
1.560804,39.1
1.560233,39.2
1.559664,39.3
1.559098,39.4
1.558535,39.5
1.557974,39.6
1.557417,39.7
1.556862,39.8
1.556309,39.9
1.55576,40
1.555213,40.1
1.554668,40.2
1.554126,40.3
1.553587,40.4
1.55305,40.5
1.552516,40.6
1.551985,40.7
1.551455,40.8
1.550929,40.9
1.550405,41
1.549883,41.1
1.549364,41.2
1.548847,41.3
1.548332,41.4
1.54782,41.5
1.54731,41.6
1.546803,41.7
1.546298,41.8
1.545795,41.9
1.545295,42
1.544797,42.1
1.544301,42.2
1.543807,42.3
1.543316,42.4
1.542827,42.5
1.54234,42.6
1.541855,42.7
1.541373,42.8
1.540892,42.9
1.540414,43
1.539938,43.1
1.539464,43.2
1.538992,43.3
1.538522,43.4
1.538055,43.5
1.537589,43.6
1.537126,43.7
1.536664,43.8
1.536205,43.9
1.535747,44
1.535292,44.1
1.534838,44.2
1.534387,44.3
1.533937,44.4
1.53349,44.5
1.533044,44.6
1.5326,44.7
1.532158,44.8
1.531718,44.9
1.53128,45
1.530844,45.1
1.53041,45.2
1.529977,45.3
1.529547,45.4
1.529118,45.5
1.528691,45.6
1.528266,45.7
1.527843,45.8
1.527421,45.9
1.527001,46
1.526583,46.1
1.526167,46.2
1.525752,46.3
1.525339,46.4
1.524928,46.5
1.524519,46.6
1.524111,46.7
1.523705,46.8
1.523301,46.9
1.522898,47
1.522497,47.1
1.522097,47.2
1.5217,47.3
1.521303,47.4
1.520909,47.5
1.520516,47.6
1.520125,47.7
1.519735,47.8
1.519347,47.9
1.51896,48
1.518575,48.1
1.518191,48.2
1.517809,48.3
1.517429,48.4
1.51705,48.5
1.516672,48.6
1.516297,48.7
1.515922,48.8
1.515549,48.9
1.515178,49
1.514808,49.1
1.514439,49.2
1.514072,49.3
1.513706,49.4
1.513342,49.5
1.512979,49.6
1.512618,49.7
1.512258,49.8
1.511899,49.9
1.511542,50
1.511186,50.1
1.510831,50.2
1.510478,50.3
1.510126,50.4
1.509776,50.5
1.509427,50.6
1.509079,50.7
1.508733,50.8
1.508388,50.9
1.508044,51
1.507701,51.1
1.50736,51.2
1.50702,51.3
1.506682,51.4
1.506344,51.5
1.506008,51.6
1.505674,51.7
1.50534,51.8
1.505008,51.9
1.504677,52
1.504347,52.1
1.504018,52.2
1.503691,52.3
1.503365,52.4
1.50304,52.5
1.502716,52.6
1.502393,52.7
1.502072,52.8
1.501752,52.9
1.501433,53
1.501115,53.1
1.500798,53.2
1.500482,53.3
1.500168,53.4
1.499855,53.5
1.499543,53.6
1.499232,53.7
1.498922,53.8
1.498613,53.9
1.498305,54
1.497999,54.1
1.497693,54.2
1.497389,54.3
1.497085,54.4
1.496783,54.5
1.496482,54.6
1.496182,54.7
1.495883,54.8
1.495585,54.9
